id,name,birthdate,deathdate
4277,Justin Paul Miller,NA,NA
4278,Justin Pierce,1975-03-21,2000-07-10
4279,Justin Rice,NA,NA
4280,Justin Theroux,1971-08-10,NA
4281,Justin Thomas Ostensen,NA,NA
4282,Justin Timberlake,1981-01-31,NA
4283,Justin Tipping,NA,NA
4284,Justin Zackham,NA,NA
4285,Justine Waddell,1975-11-04,NA
4286,K. King,1948-12-21,NA
4287,Kabir Bedi,1946-01-16,NA
4288,Kabir Sadanand,NA,NA
4289,Kacey Clarke,1988-01-14,NA
4290,Kad Merad,1964-03-27,NA
4291,KaDee Strickland,1975-12-14,NA
4292,Kaige Chen,1952-08-12,NA
4293,Kaitlin Olson,1975-08-18,NA
4294,Kaitlyn Dever,1996-12-21,NA
4295,Kaiwi Lyman-Mersereau,NA,NA
4296,Kali Rocha,1971-12-05,NA
4297,Kalim Chandler,NA,NA
4298,Kamatari Fujiwara,1905-01-15,1985-12-21
4299,Kamel Krifa,NA,NA
4300,Kamil McFadden,NA,NA
4301,Kane Hodder,1955-04-08,NA
4302,Kang-ho Song,1967-01-17,NA
4303,Kar-Wai Wong,1956-07-17,NA
4304,Kara Hayward,1998-11-17,NA
4305,Karan Brar,1999-01-18,NA
4306,Karan Johar,1972-05-25,NA
4307,Karen Alexander,NA,NA
4308,Karen Allen,1951-10-05,NA
4309,Karen Mok,1970-06-02,NA
4310,Karen Moncrieff,1963-12-20,NA
4311,Karen Pittman,NA,NA
4312,Karen Young,NA,NA
4313,Karey Kirkpatrick,1964-12-14,NA
4314,Kari J. Kramer,NA,NA
4315,Kari Matchett,1970-03-25,NA
4316,Kari Skogland,NA,NA
4317,Kari Wuhrer,1967-04-28,NA
4318,Karim Aïnouz,1966-01-17,NA
4319,Karin Dor,1938-02-22,NA
4320,Karin Konoval,NA,NA
4321,Karin Viard,1966-01-24,NA
4322,Karisma Kapoor,1974-06-25,NA
4323,Karl Collins,NA,NA
4324,Karl E. Landler,1980-03-28,NA
4325,Karl Johnson,1948-03-01,NA
4326,Karl Malden,1912-03-22,2009-07-01
4327,Karl Yune,1975-04-16,NA
4328,Karolina Wydra,1981-03-05,NA
4329,Karra Elejalde,1960-10-10,NA
4330,Karyn Kusama,1968-03-21,NA
4331,Kasi Lemmons,1961-02-24,NA
4332,Kasia Smutniak,1979-08-13,NA
4333,Kassie Wesley DePaiva,1961-03-21,NA
4334,Kat Coiro,NA,NA
4335,Kate Ashfield,1972-05-28,NA
4336,Kate Barker-Froyland,NA,NA
4337,Kate Burton,1957-09-10,NA
4338,Kate Capshaw,1953-11-03,NA
4339,Kate Connor,NA,NA
4340,Kate del Castillo,1972-10-23,NA
4341,Kate Dickie,NA,NA
4342,Kate Dollenmayer,NA,NA
4343,Kate Flannery,1964-06-10,NA
4344,Kate Graham,1989-09-05,NA
4345,Kate Higgins,1969-08-16,NA
4346,Kate Luyben,1972-06-30,NA
4347,Kate Maberly,1982-03-14,NA
4348,Kate Magowan,1975-06-01,NA
4349,Kate McKinnon,1984-01-06,NA
4350,Kate Upton,1992-06-10,NA
4351,Kate Walsh,1967-10-13,NA
4352,Kate Winslet,1975-10-05,NA
4353,Kath Soucie,1953-11-18,NA
4354,Katharina Schüttler,1979-10-20,NA
4355,Katharine Isabelle,1981-11-02,NA
4356,Katharine McPhee,1984-03-25,NA
4357,Katharine Ross,1940-01-29,NA
4358,Katherine Boecher,1981-08-10,NA
4359,Katherine Brooks,NA,NA
4360,Katherine Dieckmann,NA,NA
4361,Katherine Helmond,1929-07-05,NA
4362,Katherine LaNasa,1966-12-01,NA
4363,Katherine McNamara,1995-11-22,NA
4364,Katherine Parkinson,NA,NA
4365,Katherine Waterston,1980-03-03,NA
4366,Kathleen Freeman,NA,NA
4367,Kathleen Kinmont,1965-02-03,NA
4368,Kathleen Munroe,1982-04-09,NA
4369,Kathleen Quinlan,1954-11-19,NA
4370,Kathleen Robertson,1973-07-08,NA
4371,Kathleen Rose Perkins,1974-11-15,NA
4372,Kathleen Turner,1954-06-19,NA
4373,Kathleen Wilhoite,1964-06-29,NA
4374,Kathryn Bigelow,1951-11-27,NA
4375,Kathryn Erbe,1965-07-05,NA
4376,Kathryn Joosten,1939-12-20,2012-06-02
4377,Kathryn Morris,1969-01-28,NA
4378,Kathy Baker,1950-06-08,NA
4379,Kathy Griffin,1960-11-04,NA
4380,Kathy Uyen,1981-04-28,NA
4381,Kati Outinen,1961-08-17,NA
4382,Katia Winter,1983-10-13,NA
4383,Katie Aselton,1978-10-01,NA
4384,Katie Leclerc,1986-11-06,NA
4385,Katie Lowes,NA,NA
4386,Katja von Garnier,1966-12-15,NA
4387,Katrina Bowden,1988-09-19,NA
4388,Katrina Kaif,1984-07-16,NA
4389,Katrina Law,1985-09-30,NA
4390,Katsuhiro Ôtomo,1954-04-14,NA
4391,Katt Shea,NA,NA
4392,Katt Williams,NA,NA
4393,Katy Helvenston-Wettengal,NA,NA
4394,Katy Jurado,1924-01-16,2002-07-05
4395,Katy Mixon,1981-03-30,NA
4396,Kay Panabaker,1990-05-02,NA
4397,Kay Pollak,1938-05-21,NA
4398,Kayden Kross,1985-09-15,NA
4399,Kayla Ewell,1985-08-27,NA
4400,Kayla Jackson,NA,NA
4401,Kayla Raparelli,NA,NA
4402,Kaylee DeFer,1986-09-23,NA
4403,Kayvan Novak,1978-11-23,NA
4404,Kazunari Ninomiya,1983-06-17,NA
4405,Keanu Reeves,1964-09-02,NA
4406,Keegan Connor Tracy,1971-12-03,NA
4407,Keegan-Michael Key,1971-03-22,NA
4408,Keeley Hawes,1976-02-10,NA
4409,Keenan Tracey,NA,NA
4410,Keenan Wynn,1916-07-27,1986-10-14
4411,Keenen Ivory Wayans,1958-06-08,NA
4412,Keir Dullea,1936-05-30,NA
4413,Keir O'Donnell,1978-11-08,NA
4414,Keisha Castle-Hughes,1990-03-24,NA
4415,Keith Allen,1953-09-02,NA
4416,Keith Carradine,1949-08-08,NA
4417,Keith Gordon,1919-05-26,1989-09-10
4418,Keith Hudson,NA,NA
4419,Keith Parmer,NA,NA
4420,Keith Richards,1943-12-18,NA
4421,Kel O'Neill,NA,NA
4422,Kelen Coleman,NA,NA
4423,Kelli Barrett,1984-01-26,NA
4424,Kelli Garner,1984-04-11,NA
4425,Kelli Williams,1970-06-08,NA
4426,Kellie Martin,1975-10-16,NA
4427,Kelly Asbury,1960-01-15,NA
4428,Kelly Brook,1979-11-23,NA
4429,Kelly Carlson,1976-02-17,NA
4430,Kelly Clarkson,1982-04-24,NA
4431,Kelly Jo Minter,1966-09-24,NA
4432,Kelly Keaton,NA,NA
4433,Kelly LeBrock,1960-03-24,NA
4434,Kelly Lin,1975-10-29,NA
4435,Kelly Lynch,1959-01-31,NA
4436,Kelly Macdonald,1976-02-23,NA
4437,Kelly Makin,NA,NA
4438,Kelly Paterniti,1987-12-06,NA
4439,Kelly Preston,1962-10-13,NA
4440,Kelly Reichardt,NA,NA
4441,Kelly Reno,1966-06-19,NA
4442,Kelly Ripa,1970-10-02,NA
4443,Kelly Rowan,1965-10-26,NA
4444,Kelly Rutherford,1968-11-06,NA
4445,Kelsey Grammer,1955-02-21,NA
4446,Kelvin Han Yee,NA,NA
4447,Ken Annakin,1914-08-10,2009-04-22
4448,Ken Arnold,NA,NA
4449,Ken Bevel,NA,NA
4450,Ken Burns,1953-07-29,NA
4451,Ken Davis,NA,NA
4452,Ken Davitian,1953-06-19,NA
4453,Ken Del Conte,1941-11-02,NA
4454,Ken Foree,1948-02-29,NA
4455,Ken Howard,1944-03-28,2016-03-23
4456,Ken Kwapis,1957-08-17,NA
4457,Ken Leung,1970-01-21,NA
4458,Ken Loach,1936-06-17,NA
4459,Ken Marino,1968-12-19,NA
4460,Ken Roht,NA,NA
4461,Ken Sansom,1927-04-02,2012-10-08
4462,Ken Scott,NA,NA
4463,Ken Shapiro,NA,NA
4464,Ken Siu,NA,NA
4465,Ken Takakura,1931-02-16,2014-11-10
4466,Kenan Thompson,1978-05-10,NA
4467,Kendrick Cross,1971-05-01,NA
4468,Kendyl Joi,NA,NA
4469,Kenneth Branagh,1960-12-10,NA
4470,Kenneth Colley,1937-12-07,NA
4471,Kenneth Cranham,1944-12-12,NA
4472,Kenneth Johnson,NA,NA
4473,Kenneth Lonergan,1962-10-16,NA
4474,Kenneth Mars,1935-04-04,2011-02-12
4475,Kenneth Mitchell,NA,NA
4476,Kenneth Nkosi,NA,NA
4477,Kenneth Tobey,1917-03-23,2002-12-22
4478,Kenneth Williams,1966-11-22,NA
4479,Kenny Baker,1969-07-30,NA
4480,Kenny Johnston,1968-08-07,NA
4481,Kenny Ortega,1950-04-18,NA
4482,Kent Alterman,NA,NA
4483,Kent McCord,1942-09-26,NA
4484,Keram Malicki-Sánchez,1974-05-14,NA
4485,Keri Lynn Pratt,1978-09-23,NA
4486,Keri Maletto,1977-12-26,NA
4487,Kerr Smith,1972-03-09,NA
4488,Kerry Bishé,NA,NA
4489,Kerry Cahill,NA,NA
4490,Kerry Condon,1983-01-04,NA
4491,Kerry Conran,1964-11-06,NA
4492,Keshia Knight Pulliam,1979-04-09,NA
4493,Kesun Loder,1993-05-22,NA
4494,Kevin Alejandro,1976-04-07,NA
4495,Kevin Allen,1962-09-15,NA
4496,Kevin Bray,1965-08-19,NA
4497,Kevin Breznahan,1968-11-24,NA
4498,Kevin Brodie,1952-05-31,NA
4499,Kevin Brown,NA,NA
4500,Kevin Carraway,NA,NA
4501,Kevin Chamberlin,1963-11-25,NA
4502,Kevin Clash,1960-09-17,NA
4503,Kevin Connolly,1974-03-05,NA
4504,Kevin Corrigan,1969-03-27,NA
4505,Kevin Costner,1955-01-18,NA
4506,Kevin Dillon,1965-08-19,NA
4507,Kevin Donovan,NA,NA
4508,Kevin Dunn,1956-08-24,NA
4509,Kevin G. Schmidt,1988-08-16,NA
4510,Kevin Gage,1959-05-26,NA
4511,Kevin Greutert,1965-03-31,NA
4512,Kevin Grevioux,1962-09-09,NA
4513,Kevin Hamedani,1982-12-25,NA
4514,Kevin Hooks,1958-09-19,NA
4515,Kevin Howarth,NA,NA
4516,Kevin J. O'Connor,NA,NA
4517,Kevin Jordan,NA,NA
4518,Kevin Leslie,NA,NA
4519,Kevin Lima,NA,NA
4520,Kevin Macdonald,1961-05-16,NA
4521,Kevin McCarthy,NA,NA
4522,Kevin McGowan,NA,NA
4523,Kevin McHale,1988-06-14,NA
4524,Kevin McNally,1956-04-27,NA
4525,Kevin Michael Richardson,1964-10-25,NA
4526,Kevin Munroe,NA,NA
4527,Kevin Nash,1959-07-09,NA
4528,Kevin Nealon,1953-11-18,NA
4529,Kevin P. Farley,1965-06-08,NA
4530,Kevin Peter Hall,1955-05-09,1991-04-10
4531,Kevin Pollak,1957-10-30,NA
4532,Kevin Rahm,1971-01-07,NA
4533,Kevin Rankin,1976-04-18,NA
4534,Kevin Reynolds,1952-01-17,NA
4535,Kevin Rodney Sullivan,1958-08-03,NA
4536,Kevin Scott Richardson,1971-10-03,NA
4537,Kevin Smith,1970-08-02,NA
4538,Kevin Spacey,1959-07-26,NA
4539,Kevin Sussman,1970-12-04,NA
4540,Kevin Tancharoen,1984-04-23,NA
4541,Kevin Tenney,1955-10-16,NA
4542,Kevin Tighe,1944-08-13,NA
4543,Kevin Williamson,1965-03-14,NA
4544,Kevin Zegers,1984-09-19,NA
4545,Kevork Malikyan,1943-06-02,NA
4546,Khaira Arby,NA,NA
4547,Khalid Abdalla,1980-12-30,NA
4548,Khalid Mohamed,NA,NA
4549,Khalil Sullins,NA,NA
4550,Khamani Griffin,1998-08-01,NA
4551,Khandi Alexander,1957-09-04,NA
4552,Khulan Chuluun,1985-05-30,NA
4553,Khyentse Norbu,NA,NA
4554,Ki Hong Lee,NA,NA
4555,Kick Gurry,1978-05-25,NA
4556,Kief Davidson,1970-05-12,NA
4557,Kieran Culkin,1982-09-30,NA
4558,Kiernan Shipka,1999-11-10,NA
4559,Kiersey Clemons,1993-12-17,NA
4560,Kieu Chinh,NA,NA
4561,Kim Chan,1917-12-28,2008-10-05
4562,Kim Darby,1947-07-08,NA
4563,Kim De Angelo,NA,NA
4564,Kim Delaney,1961-11-29,NA
4565,Kim Dickens,1965-06-18,NA
4566,Kim Director,1974-11-13,NA
4567,Kim Farrant,NA,NA
4568,Kim Hunter,1947-06-15,NA
4569,Kim Ly,NA,NA
4570,Kim Nguyen,NA,NA
4571,Kim Shaw,NA,NA
4572,Kim Thomson,NA,NA
4573,Kim-Marie Woodhouse,NA,NA
4574,Kimberley Crossman,1990-05-24,NA
4575,Kimberly Beck,1956-01-09,NA
4576,Kimberly Elise,1967-04-17,NA
4577,Kimberly J. Brown,NA,NA
4578,Kimberly Peirce,1967-09-08,NA
4579,Kimberly Williams-Paisley,1971-09-14,NA
4580,Kimble Rendall,NA,NA
4581,King Vidor,1894-02-08,1982-11-01
4582,Kinka Usher,NA,NA
4583,Kiowa Gordon,1990-03-25,NA
4584,Kip Pardue,1975-09-23,NA
4585,Kira McLean,NA,NA
4586,Kiran Shah,1956-09-28,NA
4587,Kirby Bliss Blanton,1990-10-24,NA
4588,Kirby Heyborne,NA,NA
4589,Kirk Baltz,1959-09-14,NA
4590,Kirk Cameron,1970-10-12,NA
4591,Kirk De Micco,NA,NA
4592,Kirk Fox,1969-08-26,NA
4593,Kirk Jones,1964-10-31,NA
4594,Kirk Loudon,NA,NA
4595,Kirk Wong,NA,NA
4596,Kirpatrick Thomas,NA,NA
4597,Kirsten Collins,NA,NA
4598,Kirsten Day,NA,NA
4599,Kirsten Dunst,1982-04-30,NA
4600,Kirsten Sheridan,1976-07-14,NA
4601,Kirstie Alley,1951-01-12,NA
4602,Kiyoshi Kurosawa,1955-07-19,NA
4603,Kjell Nilsson,NA,NA
4604,Klaus Kinski,1926-10-18,1991-11-23
4605,Klaus Maria Brandauer,1943-06-22,NA
4606,Klaus Menzel,NA,NA
4607,Kodi Smit-McPhee,1996-06-13,NA
4608,Kôji Yakusho,1956-01-01,NA
4609,Konstantin Khabenskiy,1972-01-11,NA
4610,Konstantin Lavronenko,1961-04-20,NA
4611,Kostja Ullmann,1984-05-30,NA
4612,Kris Isacsson,NA,NA
4613,Kris Marshall,1973-04-01,NA
4614,Kris Sommerville,NA,NA
4615,Krista Allen,1971-04-05,NA
4616,Kristen Cloke,1968-09-02,NA
4617,Kristen Connolly,1980-07-12,NA
4618,Kristen Johnston,1967-09-20,NA
4619,Kristen Quintrall,NA,NA
4620,Kristen Seavey,NA,NA
4621,Kristen Stewart,1990-04-09,NA
4622,Kristi Clainos,1974-07-12,NA
4623,Kristian Bruun,NA,NA
4624,Kristin Booth,1974-08-28,NA
4625,Kristin Davis,1965-02-23,NA
4626,Kristin Lehman,1972-05-03,NA
4627,Kristin Rizzo,NA,NA
4628,Kristin Scott Thomas,1960-05-24,NA
4629,Kristoffer Polaha,1977-02-18,NA
4630,Kristy Swanson,1969-12-19,NA
4631,Kriv Stenders,NA,NA
4632,Krysta Rodriguez,1984-07-23,NA
4633,Kumar Gaurav,1960-07-11,NA
4634,Kundan Shah,1947-10-19,NA
4635,Kunihiko Yuyama,1952-10-15,NA
4636,Kuno Becker,1978-01-14,NA
4637,Kurt Angle,1969-12-09,NA
4638,Kurt Fuller,1953-09-16,NA
4639,Kurt Hale,NA,NA
4640,Kurt Loder,1945-05-05,NA
4641,Kurt Voss,1963-09-16,NA
4642,Kurt Wimmer,NA,NA
4643,Kurtwood Smith,1943-07-03,NA
4644,Kwesi Ameyaw,1975-08-24,NA
4645,Kwok-Kwan Chan,1975-08-01,NA
4646,Kyla Pratt,1986-09-16,NA
4647,Kyla Wise,NA,NA
4648,Kyle Balda,1971-03-09,NA
4649,Kyle Gass,1960-07-14,NA
4650,Kyle Hebert,1969-06-14,NA
4651,Kyle Schmid,1984-08-03,NA
4652,Kylie Bunbury,1989-01-30,NA
4653,Kylie Minogue,1968-05-28,NA
4654,Kyra Nichols,NA,NA
4655,Kyra Sedgwick,1965-08-19,NA
4656,Kyung-gu Sol,1968-05-01,NA
4657,L.Q. Jones,1933-03-14,NA
4658,La'Princess Jackson,NA,NA
4659,Laila Haley,NA,NA
4660,Lainie Kazan,1940-05-15,NA
4661,Laird John Hamilton,1964-03-02,NA
4662,Lajos Koltai,1946-04-02,NA
4663,Lalaine,1987-06-03,NA
4664,Lambert Wilson,1958-08-03,NA
4665,Lamman Rucker,1971-10-06,NA
4666,Lana Wachowski,1965-06-21,NA
4667,Lance Gross,1981-07-08,NA
4668,Lance Hool,1948-05-11,NA
4669,Lance Kawas,NA,NA
4670,Lance McDaniel,NA,NA
4671,Lance Mungia,NA,NA
4672,Lance Rivera,NA,NA
4673,Landon Liboiron,NA,NA
4674,Lane Smith,1936-04-29,2005-06-13
4675,Lara Flynn Boyle,1970-03-24,NA
4676,Lara Jean Chorostecki,1984-09-24,NA
4677,Lara Jill Miller,1967-04-20,NA
4678,Lara Pulver,1980-09-01,NA
4679,Laraine Day,1920-10-13,2007-11-10
4680,Larenz Tate,1975-09-08,NA
4681,Lark Voorhies,1974-03-25,NA
4682,Larry Bagby,1974-03-07,NA
4683,Larry Blamire,NA,NA
4684,Larry Charles,1956-12-01,NA
4685,Larry Clark,1943-01-19,NA
4686,Larry David,1947-07-02,NA
4687,Larry Drake,1949-02-21,2016-03-17
4688,Larry Fessenden,1963-03-23,NA
4689,Larry Hankin,1940-08-31,NA
4690,Larry Joe Campbell,1970-11-29,NA
4691,Larry King,1933-11-19,NA
4692,Larry Miller,1953-10-15,NA
4693,Larry Mullen Jr.,1961-10-31,NA
4694,Larry Poindexter,1959-12-16,NA
4695,Larry the Cable Guy,1963-02-17,NA
4696,Lars Mikkelsen,1964-05-06,NA
4697,Lars Ulrich,1963-12-26,NA
4698,Lars von Trier,1956-04-30,NA
4699,Laslo Benedek,1905-03-05,1992-03-11
4700,Lasse Hallström,1946-06-02,NA
4701,Lateef Crowder,1977-11-23,NA
4702,Laura Breckenridge,1983-08-22,NA
4703,Laura Brent,NA,NA
4704,Laura Flanders,1961-12-05,NA
4705,Laura Fraser,1976-07-24,NA
4706,Laura Harring,1964-03-03,NA
4707,Laura Harris,NA,NA
4708,Laura Morante,1956-08-21,NA
4709,Laura Ramsey,1982-11-14,NA
4710,Laura San Giacomo,1962-11-14,NA
4711,Laura Spencer,1969-06-19,NA
4712,Laura-Leigh,NA,NA
4713,Laurel Holloman,1971-05-23,NA
4714,Lauren Ambrose,1978-02-20,NA
4715,Lauren C. Mayhew,1985-11-27,NA
4716,Lauren Cohan,1982-01-07,NA
4717,Lauren German,1978-11-29,NA
4718,Lauren Gottlieb,NA,NA
4719,Lauren Holly,1963-10-28,NA
4720,Lauren Lazin,NA,NA
4721,Lauren Lee Smith,1980-06-19,NA
4722,Lauren London,1984-12-05,NA
4723,Lauren Sweetser,1988-02-11,NA
4724,Laurence Dunmore,NA,NA
4725,Laurence Fox,1978-05-26,NA
4726,Laurence Olivier,1907-05-22,1989-07-11
4727,Laurent Bouhnik,1961-04-07,NA
4728,Laurent Cantet,1961-06-15,NA
4729,Laurent Poitrenaux,NA,NA
4730,Laurent Tirard,NA,NA
4731,Laurie Collyer,NA,NA
4732,Laurie Metcalf,1955-06-16,NA
4733,Lauryn Hill,1975-05-26,NA
4734,Lawrence Gilliard Jr.,1971-09-22,NA
4735,Lawrence Guterman,NA,NA
4736,Lawrence Kasanoff,1959-06-01,NA
4737,Lawrence Kasdan,1949-01-14,NA
4738,Laz Alonso,1974-03-25,NA
4739,Léa Drucker,1972-01-23,NA
4740,Lea Michele,1986-08-29,NA
4741,Léa Pool,NA,NA
4742,Lea Thompson,1961-05-31,NA
4743,Leah Remini,1970-06-15,NA
4744,Lee Arenberg,1962-07-18,NA
4745,Lee Armstrong,NA,NA
4746,Lee Daniels,1959-12-24,NA
4747,Lee Evans,1964-02-25,NA
4748,Lee Ingleby,1976-01-28,NA
4749,Lee J. Cobb,1911-12-08,1976-02-11
4750,Lee Majors,1939-04-23,NA
4751,Lee Marvin,1924-02-19,1987-08-29
4752,Lee Norris,1982-04-19,NA
4753,Lee Remick,1935-12-14,1991-07-02
4754,Lee Scott,NA,NA
4755,Lee Tamahori,1950-04-22,NA
4756,Lee Tergesen,1965-07-08,NA
4757,Lee Toland Krieger,NA,NA
4758,Lee Unkrich,1967-08-08,NA
4759,Lee Ving,NA,NA
4760,Leehom Wang,1976-05-17,NA
4761,Leigh Whannell,1977-01-17,NA
4762,Leighton Meester,1986-04-09,NA
4763,Leila Arcieri,1973-12-18,NA
4764,Leila Hatami,1972-10-01,NA
4765,Lela Rochon,1964-04-17,NA
4766,Leland Orser,1960-08-06,NA
4767,Leleti Khumalo,1970-03-30,NA
4768,Lemmy,1945-12-24,2015-12-28
4769,Len Cariou,1939-09-30,NA
4770,Len Wiseman,1973-03-04,NA
4771,Lena Dunham,1986-05-13,NA
4772,Lena Endre,1955-07-08,NA
4773,Lena Horne,1917-06-30,2010-05-09
4774,Lena Olin,1955-03-22,NA
4775,Lenny Abrahamson,1966-11-30,NA
4776,Lenny Venito,NA,NA
4777,Lenore Zann,1959-11-22,NA
4778,Leo Fitzpatrick,1978-08-10,NA
4779,Leo G. Carroll,1886-10-25,1972-10-16
4780,Leo Howard,NA,NA
4781,Leo McKern,1920-03-16,2002-07-23
4782,Leo Rossi,1946-06-26,NA
4783,Leon,1962-03-08,NA
4784,Leon Ford,NA,NA
4785,Leon Ichaso,1948-08-03,NA
4786,Leon Isaac Kennedy,1949-01-01,NA
4787,Leon Rippy,1949-10-30,NA
4788,Léon Schwartzenberg,NA,NA
4789,Leonard Farlinger,NA,NA
4790,Leonard Nimoy,1931-03-26,2015-02-27
4791,Leonard Roberts,1969-02-28,NA
4792,Leonardo DiCaprio,1974-11-11,NA
4793,Leonid Yarmolnik,1954-01-22,NA
4794,Leonie Benesch,1991-04-22,NA
4795,Leonor Varela,1972-12-29,NA
4796,Leonor Watling,1975-07-28,NA
4797,Leopold Stokowski,1882-04-18,1977-09-13
4798,Leos Carax,1960-11-22,NA
4799,Les Mayfield,NA,NA
4800,Lesley Ann Warren,1946-08-16,NA
4801,Lesley Manville,1956-03-12,NA
4802,Lesley Sharp,1960-04-03,NA
4803,Lesley-Anne Down,1954-03-17,NA
4804,Leslie Bibb,1974-11-17,NA
4805,Leslie Carlson,1933-02-24,2014-05-03
4806,Leslie Caron,1931-07-01,NA
4807,Leslie H. Martinson,1915-01-16,2016-09-03
4808,Leslie Hope,1965-05-06,NA
4809,Leslie Jordan,1955-04-29,NA
4810,Leslie Small,NA,NA
4811,Leslye Headland,1980-11-26,NA
4812,Lester Speight,1963-01-07,NA
4813,Leticia Brédice,1972-08-26,NA
4814,Levan Gabriadze,1969-11-16,NA
4815,LeVar Burton,1957-02-16,NA
4816,Leven Rambin,1990-05-17,NA
4817,Levon Helm,1940-05-26,2012-04-19
4818,Lew Temple,1967-10-02,NA
4819,Lewis Gilbert,1934-06-06,2011-10-31
4820,Lex Barker,NA,NA
4821,Lex Shrapnel,1979-10-06,NA
4822,Lexa Doig,1973-06-08,NA
4823,Lexi Alexander,1974-08-23,NA
4824,Lexie Contursi,1989-09-18,NA
4825,Lhakpa Dorji,NA,NA
4826,Li Gong,1965-12-31,NA
4827,Li Jun Li,NA,NA
4828,Li Zhang,NA,NA
4829,Lia Tucker,NA,NA
4830,Liam Aiken,1990-01-07,NA
4831,Liam James,1950-09-21,NA
4832,Liam Neeson,1952-06-07,NA
4833,Liane Balaban,1980-06-24,NA
4834,Libby Villari,NA,NA
4835,Lijun Sun,NA,NA
4836,Lil' Wayne,1982-09-27,NA
4837,Lila Kedrova,1918-10-09,2000-02-16
4838,Lili Taylor,1967-02-20,NA
4839,Liliana Cavani,1933-01-12,NA
4840,Lillete Dubey,1954-05-13,NA
4841,Lilli Lavine,NA,NA
4842,Lillian Adams,1922-05-13,2011-05-25
4843,Lillian Gish,1893-10-14,1993-02-27
4844,Lillo Brancato,1976-03-30,NA
4845,Lily Atkinson,NA,NA
4846,Lily Cole,1987-12-27,NA
4847,Lily James,1989-04-05,NA
4848,Lily Rabe,1982-06-29,NA
4849,Lily Tomlin,1939-09-01,NA
4850,Lin Shaye,1943-10-12,NA
4851,Lina Esco,1985-05-14,NA
4852,Lincoln Hoppe,1971-06-05,NA
4853,Linda Blair,1959-01-22,NA
4854,Linda Cardellini,1975-06-25,NA
4855,Linda Fiorentino,1958-03-09,NA
4856,Linda Harrison,1945-07-26,NA
4857,Linda Kozlowski,1958-01-07,NA
4858,Linda Lovelace,1949-01-10,2002-04-22
4859,Linda Mendoza,NA,NA
4860,Linden Ashby,1960-05-23,NA
4861,Lindsay Duncan,1950-11-07,NA
4862,Lindsay Felton,1984-12-04,NA
4863,Lindsay Kay Hayward,1987-07-28,NA
4864,Lindsay MacDonald,1997-09-22,NA
4865,Lindsay Price,1976-12-06,NA
4866,Lindsay Sloane,1977-08-08,NA
4867,Lindsay Wagner,1949-06-22,NA
4868,Lindsey Haun,1984-11-21,NA
4869,Lindy Booth,1979-04-02,NA
4870,Linnea Quigley,1958-05-27,NA
4871,Lino Facioli,2000-07-29,NA
4872,Linus Roache,1964-02-01,NA
4873,Lionel Abelanski,1964-10-22,NA
4874,Lionel Barrymore,1878-04-28,1954-11-15
4875,Lionel C. Martin,NA,NA
4876,Lior Ashkenazi,NA,NA
4877,Lisa Ann,1972-05-09,NA
4878,Lisa Ann Walter,1963-08-03,NA
4879,Lisa Arnold,NA,NA
4880,Lisa Azuelos,1965-11-06,NA
4881,Lisa Bonet,1967-11-16,NA
4882,Lisa Brave,NA,NA
4883,Lisa Cholodenko,1964-06-05,NA
4884,Lisa Edelstein,1966-05-21,NA
4885,Lisa Gaye,1964-03-25,NA
4886,Lisa Kay,1971-02-11,NA
4887,Lisa Ortiz,1974-12-11,NA
4888,Lisa Pelikan,1954-07-12,NA
4889,Lisa Ray,1972-04-04,NA
4890,Lisa Wilcox,1964-04-27,NA
4891,LisaGay Hamilton,1964-03-25,NA
4892,Lisanne Pajot,NA,NA
4893,LisaRaye McCoy,1966-09-23,NA
4894,Liv Ullmann,1938-12-16,NA
4895,Livingston Oden,NA,NA
4896,Livvy Stubenrauch,NA,NA
4897,Liya Kebede,1978-03-01,NA
4898,Liz Friedlander,NA,NA
4899,Liz Mullane,NA,NA
4900,Liza Lapira,NA,NA
4901,Liza Minnelli,1946-03-12,NA
4902,Lizzie Brocheré,1985-03-22,NA
4903,Ljubomir Kerekes,1960-01-16,NA
4904,LL Cool J,1968-01-14,NA
4905,Lloyd Avery II,1969-06-21,2005-09-04
4906,Lloyd Bacon,1889-12-04,1955-11-15
4907,Lloyd Bridges,1913-01-15,1998-03-10
4908,Lloyd Kaufman,1945-12-30,NA
4909,Lluís Quílez,1978-12-08,NA
4910,Loanne Bishop,1955-11-10,NA
4911,Lobo Sebastian,NA,NA
4912,Lochlyn Munro,1966-02-12,NA
4913,Logan Browning,1989-06-09,NA
4914,Logan Lerman,1992-01-19,NA
4915,Lois Chiles,1947-04-15,NA
4916,Lois Maxwell,1927-02-14,2007-09-29
4917,Lois Smith,1930-11-03,NA
4918,Lola Dueñas,1971-10-06,NA
4919,Lola Glaudini,1971-11-24,NA
4920,Lolita Davidovich,1961-07-15,NA
4921,Lon Chaney Jr.,1906-02-10,1973-07-12
4922,Lone Scherfig,1959-05-02,NA
4923,Long Nguyen,NA,NA
4924,Lorelei Linklater,1994-05-29,NA
4925,Lorene Scafaria,NA,NA
4926,Loretta Devine,1949-08-21,NA
4927,Lori Petty,1963-10-14,NA
4928,Lori Silverbush,NA,NA
4929,Lori Singer,1957-11-06,NA
4930,Lorna Raver,1943-10-09,NA
4931,Lorne Cardinal,NA,NA
4932,Lorraine Bracco,1954-10-02,NA
